store,websites,attribute_set,type,categories,sku,name,price,special_price,description,short_description,image,small_image,thumbnail,weight,qty,has_options,is_in_stock,disabled,status,options_container,tax_class_id,visibility,gallery
admin,base,default,simple,Apparel,TRC101,Georgia Charm Necklace - White,45,,"Represent the Peach State with this Georgia Charm Necklace! Each piece is crafted by hand, using resin molds that I created myself.  The opaque white resin makes the piece look almost like stone - interesting and unique! The necklace includes a 24-inch chain.",Georgia State Charm Necklace with 24 inch Necklace Chain - White,/TRC101/TRC101-001.jpg,/TRC101/TRC101-001.jpg,/TRC101/TRC101-001.jpg,1,10,0,1,No,Enabled,Block after Info Column,None,"Catalog, Search",
admin,base,default,simple,Apparel/Gift,TRC102,Georgia Charm Necklace - Colored,45,,"Represent the Peach State with this Georgia Charm Necklace! Each piece is crafted by hand, using resin molds that I created myself.  The opaque resin comes in many colors  - interesting and unique! The necklace includes a 24-inch chain.",Georgia State Charm Necklace with 24 inch Necklace Chain - Colored,/TRC102/TRC102-001.jpg,/TRC102/TRC102-001.jpg,/TRC102/TRC102-001.jpg,1,10,0,1,No,Enabled,Block after Info Column,None,"Catalog, Search",
admin,base,default,simple,Apparel,TRC103,Georgia Combo Necklace,60,40,"Represent the Lone Star State with this Dallas Texas Charm Necklace! Each piece is crafted by hand, using resin molds that I created myself.  The opaque resin comes in colors makes the piece look almost like stone - interesting and unique! The necklace includes a 24-inch chain.",Dalas Texas Combo Necklace with 24 inch Chain,/TRC103/TRC103-001.jpg,/TRC103/TRC103-001.jpg,/TRC103/TRC103-001.jpg,1,15,0,1,No,Enabled,Block after Info Column,None,"Catalog, Search",
admin,base,default,simple,Apparel,TRC104,Georgia Bulldog Earrings,45,,Celebrate being a fan with these brass bulldog charm earrings on 14k gold filled earring hooks. ,Brass Bulldog Charm Earrings on 14k Gold Hooks,/TRC104/TRC104-001.jpg,/TRC104/TRC104-001.jpg,/TRC104/TRC104-001.jpg,1,30,0,1,No,Enabled,Block after Info Column,None,"Catalog, Search",
admin,base,default,simple,Home/Food,JJC101,Mason Jar Mug Set,60,,"On the beach or on the front porch, our Mason-jar-inspired collection continues the American tradition of casual entertaining.  3"" Diameter, 5"" high.  Holds 16oz. Made of molded glass. Set of 6",Mason Jar inspired Mugs - Set of 6,/JJC101/JJC101-001.jpg,/JJC101/JJC101-001.jpg,/JJC101/JJC101-001.jpg,5,20,0,1,No,Enabled,Block after Info Column,None,"Catalog, Search",
admin,base,default,simple,Home,JJC102,Wire Basket with Burlap Liner,90,,"Easter morning takes on country farmhouse charm with this rustic basket. Fill it with eggs and goodies for the holiday, then use it to store anything from fruit to craft supplies during the rest of the year. 14.5"" diameter, 16.5"" high. Made of galvanized iron. Lined with natural jute.",Wire Basket with Burlap Liner - made of galvanized iron,/JJC102/JJC102-001.jpg,/JJC102/JJC102-001.jpg,/JJC102/JJC102-001.jpg,2,30,0,1,No,Enabled,Block after Info Column,None,"Catalog, Search",
admin,base,default,simple,Home,JJC103,Linear Succulent Planter,95,,"Add a different succulent or air plant to each of these pockets for a display of contrasts in color and texture. Its vertical design adds height to your garden and is ideal for large or small spaces alike. 5.5"" wide x 4"" deep x 63"" high. Made of galvanized iron and finished in matte Pewter. Features 10 planters. Mounting hardware included. For indoor and outdoor display.","Linear Succulent Planter - 63"" high made of galvanized iron",/JJC103/JJC103-001.jpg,/JJC103/JJC103-001.jpg,/JJC103/JJC103-001.jpg,15,10,0,1,No,Enabled,Block after Info Column,None,"Catalog, Search",
admin,base,default,simple,Home/Food,JJC104,Cuisine Paper Towel Holder,65,,"Not your usual paper-towel holder, ours has rustic character and is a perfect complement to our other Cuisine pieces.
17"" wide x 5.5"" deep x 10"" high. Made of mango wood. Iron bar with blackened finish. Bar removes to insert paper towels.",Cuisine Paper Towel Holder made of mango wood and iron,/JJC104/JJC104-001.jpg,/JJC104/JJC104-001.jpg,/JJC104/JJC104-001.jpg,5,20,0,1,No,Enabled,Block after Info Column,None,"Catalog, Search",
admin,base,default,simple,Food/Gift,TJT101,Smokehouse Rub,15,,"Inspired by the rustic traditions of a deep-woods smokehouse, our savory-sweet rub adds enticing flavor to your favorite grilled or roasted meats. We start with all-natural Mediterranean sea salt that腕 been slow-smoked over Pacific Northwest apple wood, balancing the blend with aromatic herbs and touch of sugar.",Smokehouse Rub  adds enticing flavor to your favorite grilled or roasted meats. ,/TJT101/TJT101-001.jpg,/TJT101/TJT101-001.jpg,/TJT101/TJT101-001.jpg,1,35,0,1,No,Enabled,Block after Info Column,None,"Catalog, Search",
admin,base,default,simple,Food/Gift,TJT102,Blackbery Farm Cookbook,,,"Nestled in the Great Smoky Mountains of Tennessee, Blackberry Farm has helped spark America's return to the simple goodness of farm-to-table cooking. This collection brings you more than 100 recipes from Blackberry Farm's acclaimed restaurant, where traditional rustic mountain cooking meets the talents of New Southern chefs. Inspired by a reverence for the land and its fresh ingredients, these southern recipes and menus take you through a year of seasons at the farm, from summer barbecues and garden dinners to the fall harvest and winter腕 cozy company meals. Home cooks can re-create many of the farm腕 delicious, down-home specialties such as Roasted Hen of the Woods with Corn Pudding, Peach-Glazed Baby Back Ribs, Bourbon Apple Fried Pies, Herbed Spoonbread and Green Tomato Skillet Cake. ","This collection brings you more than 100 recipes from Blackberry Farm's acclaimed restaurant, where traditional rustic mountain cooking meets the talents of New Southern chefs. ",/TJT102/TJT102-001.jpg,/TJT102/TJT102-001.jpg,/TJT102/TJT102-001.jpg,5,100,0,1,No,Enabled,Block after Info Column,None,"Catalog, Search",
